                                                  Ordered by
                    Structure         TotalE     NoInterHelVDW     NoAllVDW        InterHB
   150_240_330_240_150_180_90         1643.0          103.7          413.0          -67.1
     90_150_330_180_90_210_60         4221.0          103.7          408.0          -80.3
      150_150_330_0_90_240_90         1169.4          103.8          410.6          -78.3
    120_120_330_240_90_180_90         4331.2          103.8          414.2          -72.1
     120_120_330_0_60_270_120         5760.2          104.0          419.9          -69.3
     120_120_330_0_90_150_150         3598.7          104.0          425.4          -64.1
   120_120_330_90_150_180_330        16457.3          104.1          387.5          -80.6
    180_120_330_0_180_150_330         2128.5          104.1          405.2          -73.2
     120_120_330_0_180_150_30         4805.4          104.1          408.9          -79.4
  180_120_330_240_150_180_330         1412.8          104.2          398.4          -76.2
      180_120_330_0_60_270_90         2987.3          104.3          425.2          -62.6
  180_150_330_180_150_180_330         2208.7          104.6          403.8          -77.0
     150_150_330_0_90_300_210         1150.5          104.6          423.3          -75.5
   180_120_330_180_150_120_60         2543.4          104.7          391.9          -88.6
     120_120_330_0_60_150_330         5911.6          104.7          399.1          -78.4
    90_150_330_180_150_120_60         3302.2          104.8          414.8          -97.7
     120_120_330_0_30_150_330       417436.9          104.9          402.6          -78.0
    180_120_330_0_150_180_330          900.4          104.9          400.5          -69.0
    120_120_330_0_180_150_210         4833.6          105.2          399.6          -82.7
       180_120_330_0_90_180_0          999.5          105.2          425.1          -59.8
   150_150_240_150_150_240_90        60872.4          105.3          409.5          -57.6
      180_120_330_0_90_240_60          816.5          105.3          426.8          -61.7
     150_150_30_330_90_180_90      1894053.0          105.4          434.8          -31.1
    180_120_330_0_180_150_120         2091.8          105.5          413.3          -71.7
     120_120_330_0_90_330_330         3529.1          105.5          416.3          -70.9
       90_150_330_0_90_300_90         1761.0          105.5          440.7          -87.6
       180_120_330_0_60_330_0         3068.7          105.6          428.1          -66.9
      180_120_330_0_90_300_60          802.5          105.6          428.2          -62.0
      180_120_330_0_90_150_60          803.6          105.6          418.8          -57.3
     180_120_330_0_90_150_180         1575.6          105.6          413.5          -63.3
    180_120_330_90_150_180_90        13697.9          105.6          395.1          -70.4
    180_120_330_0_180_180_330         1870.5          105.6          417.0          -74.4
     90_150_330_240_90_180_90         2538.2          105.7          431.6          -74.0
      150_150_330_0_90_210_90         1979.3          105.7          402.9          -71.5
     120_120_330_0_60_150_180         5841.4          105.8          401.3          -74.4
   120_120_330_270_150_180_90         4051.7          105.9          416.3          -63.4
    150_150_330_240_90_210_60         2811.3          106.0          414.8          -75.0
     120_120_330_0_30_150_180       417366.7          106.0          404.8          -74.0
    120_120_330_240_90_240_90         4201.8          106.1          410.0          -85.3
   180_150_330_240_150_180_90         1728.9          106.2          410.9          -73.1
   90_150_330_180_150_180_330         2826.7          106.2          413.6          -85.5
      150_150_330_0_60_120_30         3391.6          106.3          419.5          -78.3
  120_120_330_240_150_120_210         4670.6          106.3          402.5         -100.3
     120_120_330_0_60_150_120         5868.7          106.4          409.1          -78.7
  180_120_330_240_150_180_120         1471.8          106.5          402.6          -71.0
     150_150_330_0_150_180_90         1201.5          106.5          393.8          -75.1
     120_120_330_0_30_150_120       417393.9          106.5          412.6          -78.3
      120_120_330_0_90_150_90         3568.3          106.6          414.0          -67.8
      90_150_30_330_90_240_90      1894534.0          106.6          451.8          -50.3
   120_120_330_240_90_210_330         4997.2          106.6          396.3          -78.6
  150_150_240_150_150_180_120        60861.0          106.6          428.8          -38.0
      180_120_330_0_60_210_60         3862.5          106.6          417.8          -68.1
    120_120_330_0_180_150_150         4832.3          106.7          417.5          -72.3
      120_120_330_0_60_150_60         5829.9          106.7          405.0          -70.5
   120_120_330_90_150_180_120        16510.1          106.7          393.6          -77.2
      120_120_330_0_60_270_30         5776.9          106.8          421.5          -73.7
     150_150_330_0_60_120_210         3409.1          106.8          425.2          -82.0
      120_120_330_0_30_150_60       417355.2          106.9          408.5          -70.1
     150_150_0_210_240_180_90       106808.9          106.9          423.8          -47.6
     120_120_330_0_60_270_240         5745.5          106.9          420.8          -74.2
      120_120_330_0_60_120_90         5808.2          107.0          429.2          -71.8
  150_150_240_150_150_120_210        61328.4          107.0          431.9          -58.1
    120_120_330_0_150_120_210         4158.2          107.0          404.6          -93.1
     120_120_330_90_150_180_0        16482.3          107.0          393.7          -79.6
   120_120_330_240_150_180_30         4155.6          107.1          381.8          -89.2
    180_120_330_0_150_180_120          959.4          107.2          404.6          -63.8
     150_150_330_0_180_180_90         2171.7          107.3          410.3          -80.5
     120_120_330_240_90_150_0         4185.0          107.3          409.8          -77.3
    120_120_330_0_180_270_330         4560.9          107.3          412.8          -81.3
  120_120_330_180_150_180_210         5026.8          107.6          366.4          -88.3
     90_150_240_150_90_240_90        63401.7          107.7          439.3          -53.7
    90_150_240_150_120_300_90        62419.2          107.8          419.1          -60.2
     150_210_0_210_240_180_90       108768.2          107.8          430.4          -61.9
   180_180_330_180_150_180_90         2584.3          107.8          407.4          -64.4
     120_120_330_0_150_180_30         3643.2          107.8          383.8          -82.0
      90_150_330_0_180_210_60         3052.8          107.9          419.1          -96.9
     120_120_330_0_90_300_120         3597.0          107.9          426.6          -68.4
     90_150_330_240_90_240_90         2408.7          107.9          427.5          -87.2
     210_330_180_90_90_210_60         3383.7          107.9          430.1          -80.8
    180_120_330_0_180_180_120         1929.6          108.0          421.1          -69.2
    120_120_330_240_90_210_90         5011.7          108.0          402.3          -78.5
     150_240_180_90_90_240_90         4173.3          108.3          426.9          -76.5
       90_150_330_0_60_120_60         4012.6          108.3          439.7          -85.8
     180_120_330_0_180_150_60         2037.2          108.3          410.9          -65.5
    180_120_330_0_180_150_180         2809.2          108.3          405.6          -71.5
     120_120_330_0_60_120_330         5802.9          108.5          426.0          -78.4
     120_120_330_0_180_180_30         4613.3          108.5          400.3          -87.4
    90_150_240_150_150_120_90        61913.8          108.6          445.6          -59.5
    120_120_330_300_90_210_60        39785.8          108.8          416.8          -71.2
    180_150_330_240_90_210_60         2799.5          108.8          419.8          -74.4
   120_120_330_240_90_300_210         4166.6          108.8          415.8          -80.9
    120_120_330_270_90_210_60         9850.3          108.9          409.9          -60.9
    120_120_330_90_150_120_60        16938.4          108.9          394.2          -90.7
     150_150_30_330_90_210_90      1894725.5          108.9          428.0          -35.7
       90_150_330_0_60_270_90         3938.2          109.0          438.1          -79.0
  120_120_330_180_150_120_240         5456.3          109.1          387.7         -105.0
     120_120_330_0_60_120_120         5816.1          109.2          415.5          -74.8
   150_150_240_150_150_120_30        61313.5          109.2          429.3          -55.6
       180_120_330_0_90_240_0          830.6          109.3          435.3          -62.2
     120_120_330_0_180_150_90         4801.9          109.3          406.1          -76.0
   120_120_330_240_90_180_330         4337.0          109.3          413.1          -75.4
     150_150_330_0_90_240_330         1209.4          109.4          429.2          -77.9
      120_120_330_0_60_330_90         5809.1          109.4          432.1          -71.1
   150_150_330_180_150_180_30         2179.5          109.5          384.3          -76.8
    180_120_330_240_150_180_0         1414.6          109.5          402.0          -77.0
   120_120_330_240_90_240_120         4203.5          109.5          414.5          -83.1
     120_120_330_0_60_150_240         6854.4          109.6          404.7          -81.7
     180_120_330_0_60_330_180         3818.5          109.6          429.9          -65.2
  150_150_330_240_150_180_120         1787.0          109.7          410.3          -70.6
     120_120_330_0_30_150_240       418379.7          109.8          408.2          -81.3
     150_240_180_90_90_210_90         4972.5          109.8          423.1          -65.3
     120_120_330_0_90_180_210         3952.6          109.8          402.4          -69.0
     90_150_330_240_90_210_90         3218.6          109.8          419.7          -80.4
   120_120_330_240_90_300_330         4162.4          109.9          418.2          -83.2
      180_120_330_0_60_330_60         3046.2          110.0          432.3          -61.4
  120_120_330_180_150_120_180         5276.2          110.0          397.0          -97.5
     180_120_330_0_90_300_180         1599.2          110.0          431.1          -61.9
    90_150_240_150_150_300_90        61538.6          110.0          451.5          -57.4
    120_120_330_0_180_300_210         4660.0          110.1          429.5          -79.4
    120_120_330_0_120_300_210         5558.3          110.2          394.0          -80.7
      180_120_330_0_150_180_0          902.2          110.2          404.1          -69.8
     120_120_330_0_90_210_270         4414.8          110.2          424.9          -61.2
     180_180_330_0_90_150_150        11035.1          110.3          421.9          -57.0
    120_120_330_180_150_150_0         4866.3          110.3          383.6          -95.5
    120_120_330_90_150_120_30        16972.8          110.3          392.6          -98.3
    90_150_240_150_150_120_60        61934.1          110.4          448.3          -63.1
     120_120_330_0_60_240_330         6475.1          110.4          419.1          -71.6
      120_120_330_0_60_90_240         5775.9          110.5          419.5          -75.7
     150_150_330_0_60_270_330         3363.6          110.5          423.7          -78.2
    90_150_240_150_120_240_90        62511.3          110.5          415.0          -55.0
      120_120_330_0_180_330_0         4592.6          110.5          428.9          -72.2
     90_180_330_180_90_210_60         3302.3          110.8          393.5          -64.7
     210_210_30_330_90_210_60      1894520.2          110.8          454.6          -49.8
   120_120_330_240_90_150_330         4234.2          110.8          404.8          -81.4
    180_120_330_240_90_180_90         1577.7          110.9          420.6          -65.2
      180_120_330_0_180_180_0         1872.3          110.9          420.6          -75.2
    120_120_330_90_60_270_330        17949.1          110.9          396.8          -84.7
      150_150_330_0_90_300_90         1141.6          110.9          425.1          -78.8
    150_150_330_240_90_180_90         1918.7          111.0          416.0          -65.2
  150_150_330_240_150_180_330         1782.5          111.1          405.8          -77.8
  150_150_330_180_150_180_210         2395.8          111.1          377.1          -79.8
       120_120_330_0_0_180_90         6606.4          111.2          413.0          -79.5
    120_120_330_0_180_300_330         4655.8          111.2          431.9          -81.7
   150_150_330_240_150_120_30         2257.0          111.2          405.5          -91.3
    120_120_330_0_120_300_330         5554.0          111.2          396.4          -83.0
   180_120_330_240_150_120_60         1884.3          111.2          404.8          -86.5
     180_150_330_0_90_240_330         1211.3          111.2          438.3          -78.2
     150_150_330_0_60_330_330         3400.7          111.2          427.1          -81.0
  120_120_330_270_150_180_330         4057.5          111.4          415.3          -66.7
      120_120_330_0_60_90_210         5790.7          111.4          416.3          -72.1
     120_120_330_90_60_120_60        17983.7          111.4          399.5          -81.4
   120_120_330_180_150_180_60         4821.9          111.5          384.3          -78.7
     120_120_330_0_90_210_240         4397.1          111.5          391.2          -74.4
  180_150_330_180_150_180_120         2239.4          111.5          413.0          -69.7
     150_150_330_0_90_150_150         1138.8          111.7          424.0          -65.9
  150_150_330_240_150_120_210         2274.5          111.7          411.3          -95.0
    120_120_330_90_60_330_330        17986.3          111.7          400.2          -87.5
    120_120_330_90_90_240_330        16504.6          111.8          402.9          -80.6
    180_120_330_0_180_330_330         1812.4          111.8          427.5          -70.2
      120_120_330_0_60_90_180         6100.7          111.8          426.7          -72.2
      180_150_330_0_90_180_90         1304.2          111.8          436.0          -63.5
    120_120_330_180_150_120_0         5357.0          111.8          405.7          -94.0
    90_180_330_180_150_120_60         2383.4          111.8          400.2          -82.1
    180_120_330_330_90_210_60         1534.9          111.9          418.2          -51.2
     180_180_30_330_90_210_60      1895318.7          111.9          454.0          -47.6
     180_120_330_0_150_120_60         1371.9          111.9          406.9          -79.3
     120_120_330_0_180_270_60         4587.2          111.9          412.9          -77.6
   120_120_330_240_90_150_180         4164.1          112.0          407.0          -77.4
     150_150_30_330_90_240_90      1893914.6          112.0          436.2          -41.5
   120_120_330_240_90_180_120         4389.9          112.0          419.2          -72.0
   180_120_330_240_90_240_330         1459.6          112.0          423.1          -76.4
    120_120_330_0_180_210_330         4618.5          112.1          400.5          -84.9
     180_120_330_0_90_150_240         1849.9          112.2          424.3          -60.3
   210_330_240_150_150_180_90       141430.1          112.3          418.0          -64.5
       90_180_330_0_90_180_90         1044.8          112.3          427.5          -60.2
     120_120_330_240_90_180_0         4362.1          112.3          419.2          -74.4
     180_150_330_0_60_270_330         3365.5          112.3          432.7          -78.5
   120_120_330_240_60_270_330         4107.2          112.4          412.8          -85.2
       90_150_330_0_60_270_60         4004.3          112.4          437.1          -85.4
   120_120_330_240_90_150_120         4191.3          112.5          414.8          -81.7
    120_120_330_240_90_240_60         4165.4          112.5          418.7          -77.9
      90_150_0_300_240_180_90       105275.5          112.5          432.5          -55.8
       180_120_330_0_90_210_0         1605.9          112.5          414.5          -58.5
      210_120_330_0_90_210_60         1901.5          112.6          425.3          -62.2
    120_120_330_240_90_300_60         4151.4          112.8          420.1          -78.2
    120_120_330_240_90_150_60         4152.5          112.8          410.7          -73.5
    120_120_330_240_60_120_60         4141.8          112.9          415.5          -81.9
      90_150_330_0_90_240_330         1829.4          112.9          448.1          -86.7
     90_150_330_90_150_180_90        22341.1          112.9          406.7          -80.2
     150_150_330_0_90_240_120         1176.0          112.9          430.6          -72.1
   180_120_330_270_150_180_90         1298.1          112.9          422.8          -56.5
     120_120_330_90_60_120_30        18018.2          112.9          398.0          -89.0
   90_150_330_180_150_180_120         2850.9          112.9          427.1          -81.8
  180_150_330_240_150_180_330         1784.4          112.9          414.8          -78.1
    180_180_330_0_180_150_150        12268.7          113.0          414.0          -65.2
      90_180_330_0_180_210_60         2157.8          113.0          401.6          -78.2
     180_150_330_0_60_330_330         3402.7          113.1          436.1          -81.3
    180_120_330_240_90_240_90         1448.2          113.1          416.5          -78.4
    150_150_240_150_90_240_90        62782.3          113.1          423.6          -44.9
   120_120_330_240_60_330_330         4144.3          113.1          416.2          -88.0
   150_150_240_150_120_300_90        61799.8          113.2          403.4          -51.4
    90_150_330_240_150_120_60         2878.0          113.2          425.8          -98.8
    120_120_330_240_90_300_90         4174.0          113.2          424.5          -85.8
       180_120_330_0_60_270_0         3026.2          113.3          436.1          -57.1
    150_150_330_240_90_240_90         1789.3          113.3          411.8          -78.4
   120_120_330_240_240_180_90         6564.7          113.3          415.1          -78.5
     150_240_180_90_90_210_60         5192.0          113.3          447.2          -63.4
    210_330_180_330_90_210_60        44757.6          113.4          444.1          -66.5
       90_180_330_0_60_120_60         3117.6          113.4          422.2          -67.1
     120_120_330_0_60_270_270         5800.8          113.4          444.0          -60.7
     150_240_30_330_90_210_60      1894843.6          113.5          462.3          -46.4
     120_120_330_0_90_210_150         4373.0          113.5          423.2          -61.9
     120_120_330_0_180_210_90         4633.0          113.5          406.6          -84.8
     120_120_330_0_60_270_210         5756.1          113.6          416.4          -71.5
       180_120_330_0_60_150_0         3110.2          113.6          413.1          -67.4
     120_120_330_90_90_180_90        16647.2          113.6          405.5          -67.6
      180_120_330_0_90_150_90          814.7          113.6          420.4          -60.9
  150_240_330_180_150_180_120         2248.3          113.6          421.4          -64.3
     120_120_330_0_90_210_120         4453.0          113.7          395.4          -67.7
     180_120_330_0_60_270_120         3037.4          113.7          429.5          -58.8
