                                    Ordered by
                    Structure         TotalE     NoInterHelVDW     NoAllVDW        InterHB
    120_240_0_240_330_330_180          423.8          292.7          523.2          -32.7
    150_210_0_240_150_150_150          424.1          163.8          438.3          -40.8
      150_210_0_240_60_330_30          424.2          181.0          477.6          -40.4
      30_240_0_240_60_270_120          424.4          331.5          519.3          -22.7
    150_210_0_240_150_330_120          424.6          204.3          475.7          -42.0
      120_240_0_240_60_60_240          424.6          323.8          536.5          -33.4
    210_210_0_240_150_270_330          424.7          228.3          487.3          -43.1
    150_210_0_240_150_330_180          424.8          203.0          497.0          -42.9
     180_240_0_270_60_330_120          424.9          307.8          524.7          -32.9
       180_240_0_240_60_90_90          425.0          246.5          517.2          -20.6
    210_210_0_240_150_270_120          425.1          222.8          485.4          -46.1
    180_240_0_240_150_240_120          425.1          227.6          494.1          -40.7
      150_210_0_240_60_90_210          425.2          193.7          487.9          -47.0
    120_240_0_240_330_270_180          425.3          304.9          528.7          -35.7
     180_240_0_270_150_270_90          425.4          348.3          536.5          -30.7
      210_30_60_330_90_150_30          425.5          285.8          578.1          -20.4
      60_240_0_240_150_180_90          425.9          220.3          431.5          -31.5
     180_240_0_270_150_180_60          426.1          310.3          515.7          -29.8
      180_240_0_240_60_60_210          426.5          274.2          547.0          -21.5
     150_210_0_270_60_120_150          426.9          248.9          478.5          -41.5
      180_240_0_270_60_180_90          426.9          348.9          502.0          -39.0
      210_210_0_270_60_120_60          427.2          231.4          473.0          -44.3
      180_240_0_270_60_120_30          427.4          332.1          509.0          -37.5
       150_210_0_240_60_60_60          427.4          214.5          502.9          -38.1
      210_240_0_240_60_270_60          427.4          211.8          508.3          -28.2
     300_240_0_240_330_270_90          427.5          291.2          515.5          -24.9
     180_120_60_330_60_120_90          427.5          191.0          496.3          -31.0
    210_240_0_240_330_300_330          427.8          207.5          505.4          -27.3
     150_210_0_240_330_330_60          427.9          185.6          480.4          -45.3
      120_240_0_270_60_330_60          428.5          348.6          538.0          -27.9
     180_120_60_330_60_90_240          428.5          185.6          486.7          -33.9
     180_240_0_240_60_150_120          429.0          226.5          505.3          -32.2
    150_210_0_240_150_270_120          429.0          228.2          479.4          -49.7
     180_120_60_330_90_300_90          429.0          211.7          511.4          -40.4
    180_120_60_330_60_270_240          429.0          213.4          512.3          -27.0
     120_240_0_240_150_150_60          429.0          288.5          497.5          -29.6
     150_210_0_240_330_270_30          429.0          180.0          477.4          -49.2
     300_240_0_240_330_300_90          429.2          284.7          511.3          -31.8
      90_240_0_240_60_270_330          429.2          241.0          495.7          -31.5
    210_240_0_240_330_270_330          429.4          203.8          500.0          -31.2
      150_240_0_240_60_270_90          429.9          162.2          474.3          -36.0
      150_210_0_240_150_330_0          430.0          205.6          489.8          -36.4
     180_240_0_210_60_270_330          430.2          219.7          515.8          -31.4
     150_210_0_270_60_330_150          430.3          239.0          483.3          -37.0
     120_240_0_240_150_270_60          430.4          320.5          513.5          -36.7
     210_30_60_330_90_240_270          430.4          275.7          563.4          -30.3
