                                                                  Ordered by
                    Structure         TotalE     NoInterHelVDW     NoAllVDW        InterHB
   120_120_330_90_150_180_210        16683.2          124.0          380.0          -81.9
   120_270_330_180_120_180_30         4689.1          305.7          380.0          -73.6
     90_0_300_150_120_180_150       217674.0          218.0          380.0          -71.9
   90_120_330_240_150_180_180         1684.8          165.5          380.1          -83.4
  120_120_330_180_150_180_120         4853.7           90.3          380.1          -83.6
    120_120_330_180_150_180_0         4825.9           90.6          380.1          -86.0
    120_330_330_180_90_210_60         6949.9          419.0          380.1          -66.4
     90_120_330_90_150_180_90        13939.1          132.5          380.2          -81.3
  150_180_330_180_120_180_210         4404.1          215.8          380.2          -73.8
   150_240_300_150_120_180_90         8447.7          360.1          380.2          -69.6
  120_120_330_180_150_210_210         5005.4          175.4          380.2          -88.7
  120_120_330_180_120_180_330         6803.8          162.8          380.3          -85.2
   120_330_330_240_150_180_30         9506.0          448.6          380.3          -76.3
   120_270_300_150_120_180_30        29594.0          399.7          380.3          -71.3
  120_120_330_240_120_180_240        35989.3         1136.3          380.4          -87.7
  120_180_300_150_120_180_210         4818.6          386.9          380.4          -77.1
  150_330_330_180_150_180_240        34671.2         1570.3          380.4          -73.9
    120_120_330_0_120_180_180         5652.0          168.6          380.5          -71.8
  150_330_330_240_120_180_150        10540.1          642.9          380.6          -74.6
   150_180_330_180_120_180_30         4179.7          208.5          380.6          -66.8
   120_120_330_180_150_120_60         5281.9           92.4          380.6          -97.1
     90_0_300_150_120_180_180       217295.1          221.0          380.6          -70.9
   120_180_330_180_90_210_210         3187.1          357.1          380.6          -77.4
    120_120_330_240_90_210_60         5185.9           78.2          380.6          -79.2
     90_180_330_0_120_180_180         2966.3          191.1          380.6          -73.0
     90_120_330_180_150_150_0         2381.5          156.7          380.7          -97.5
    90_120_330_90_150_180_180        14000.3          175.4          380.7          -79.1
  120_120_330_240_120_180_210         6466.8          177.0          380.7          -85.3
    120_180_330_0_120_180_180         3042.9          388.6          380.8          -80.7
  120_120_330_180_150_150_180         4845.4          115.0          380.8          -95.6
    120_180_330_0_270_210_210        22928.4          403.2          380.9          -88.0
    90_120_330_240_120_180_90         3722.7          185.5          380.9          -84.7
      90_120_330_0_120_210_60         3566.0          199.9          381.0          -84.2
    120_120_330_0_150_180_240        33377.9         1074.2          381.1          -81.4
   150_330_330_180_150_150_90         4945.4          616.8          381.1          -82.1
   150_330_270_240_120_180_90        11718.4          354.0          381.1          -53.9
     90_120_180_90_180_210_60         6928.4          235.8          381.1          -89.7
   150_330_330_240_120_180_30        10969.8          680.0          381.2          -78.9
     120_180_330_0_90_210_210         1811.0          334.4          381.3          -76.9
     120_150_330_0_120_180_30         3787.2          238.8          381.3          -78.2
   120_120_330_180_120_180_90         6798.0          157.3          381.3          -81.9
     120_0_300_150_120_180_90       175282.8          271.2          381.4          -83.5
    120_120_330_0_150_180_210         3855.3          114.8          381.4          -79.0
   90_120_330_240_120_180_180         3783.8          228.3          381.4          -82.5
   180_120_330_180_150_180_90         2041.5           89.2          381.5          -76.8
   150_330_270_210_120_180_90        15607.9          346.5          381.6          -52.4
      90_120_330_0_150_180_90         1111.2          123.3          381.6          -78.4
   120_330_330_240_120_180_30        11605.0          511.4          381.7          -75.4
       90_120_330_0_120_180_0         3155.7          190.2          381.7          -76.5
    150_150_330_0_120_180_210         3435.7          176.1          381.7          -79.1
   120_120_330_240_150_180_30         4155.6          107.1          381.8          -89.2
     90_0_330_180_150_150_180        47604.3          180.7          382.0          -76.9
   150_150_270_210_300_180_90        14560.0          547.3          382.0          -55.7
  120_330_330_180_150_180_270         8313.3          487.3          382.0          -66.2
     90_120_330_0_150_180_180         1172.4          166.2          382.1          -76.2
  120_120_330_180_120_180_180         6840.3          190.5          382.2          -81.5
  150_330_330_240_150_180_270        11193.2          654.6          382.2          -73.8
  120_330_330_180_150_180_180         5601.2          456.7          382.3          -67.0
     120_180_330_0_270_180_30        23002.7          386.3          382.3          -82.5
   120_120_330_240_90_210_210         5031.9          136.1          382.4          -79.6
   90_120_330_240_150_180_240        31391.3         1117.4          382.4          -84.1
    120_120_330_90_150_180_30        16471.1          117.0          382.4          -84.9
     120_0_330_180_150_180_90         5590.2          236.9          382.4          -77.2
    90_120_330_180_150_180_30         2363.8          170.2          382.4          -91.3
    90_120_330_180_270_210_60        25571.1          184.5          382.5          -85.4
    120_0_330_180_150_150_150         5622.4          220.7          382.6          -89.9
    90_120_330_180_150_150_90         2347.6          163.0          382.6          -97.7
   120_330_330_180_150_180_90         5549.6          410.3          382.6          -64.8
    90_120_330_180_120_210_60         4754.3          221.8          382.7          -93.9
    120_270_330_90_150_180_30        22154.9          262.8          382.7          -70.3
    90_120_180_240_180_210_60        33990.2          336.4          382.8          -78.8
  150_330_240_150_120_300_210       143730.7          331.0          382.8          -53.6
   120_120_330_90_120_180_240        48277.9         1155.1          382.8          -82.0
    120_150_330_0_120_180_210         4016.7          248.7          382.8          -77.2
      90_0_300_210_120_180_90       278843.7          187.6          382.9          -62.3
  150_180_300_150_120_180_210         5052.5          212.0          382.9          -67.1
  150_330_240_150_120_210_210       144064.4          446.1          382.9          -57.9
   120_150_330_180_120_180_30         4750.3          249.0          382.9          -77.1
     90_120_330_90_90_210_180        15018.8          216.1          382.9          -72.4
  120_330_330_240_150_180_210         9314.3          436.1          383.0          -72.8
    120_0_330_180_150_180_150         5609.7          215.5          383.0          -78.0
   150_330_330_180_90_210_150         6021.1          601.9          383.0          -63.0
    150_150_330_90_90_210_210        22634.4          163.7          383.0          -70.8
    90_120_330_90_150_180_240        43706.8         1127.3          383.0          -79.8
   120_120_330_90_120_180_210        18755.4          195.8          383.1          -79.6
   150_180_330_180_90_210_210         3421.1          182.3          383.1          -67.4
  180_120_330_180_150_180_240        31832.6         1082.9          383.2          -74.0
   120_120_330_240_120_180_30         6254.7          170.0          383.2          -88.3
   150_330_330_90_150_180_210        16743.4          635.9          383.2          -77.0
     180_120_330_90_90_210_60        14763.3          100.2          383.3          -66.2
  150_330_240_150_120_240_150       143752.5          333.6          383.3          -54.4
  150_150_330_180_120_180_210         4398.8          186.3          383.3          -78.0
     90_120_330_90_120_180_90        16011.2          204.2          383.3          -79.0
     90_0_330_180_120_180_180        49599.2          256.2          383.4          -62.8
    150_180_330_0_270_210_210        23162.3          228.3          383.4          -78.0
  120_330_330_180_150_180_240        35312.8         1403.6          383.4          -74.0
     150_150_330_0_120_180_90         3187.6          152.5          383.4          -72.9
   150_330_240_150_150_240_90       142786.5          319.1          383.4          -67.7
     90_120_330_180_120_180_0         4344.0          212.1          383.4          -86.2
    120_180_330_0_150_180_210         1244.8          332.6          383.5          -84.0
  120_270_330_180_150_180_210         2917.2          242.4          383.5          -71.9
     150_0_300_150_120_180_90       173331.7          240.1          383.5          -88.6
   150_330_300_150_120_180_90       145456.2          477.4          383.6          -66.6
    120_120_330_180_150_150_0         4866.3          110.3          383.6          -95.5
  150_330_330_240_120_180_270        13292.2          717.4          383.6          -72.9
    150_330_330_180_90_210_60         6313.0          591.3          383.7          -71.1
    120_270_330_30_150_180_30        25111.9          541.3          383.7          -77.7
   120_270_330_240_150_180_30         2150.9          234.1          383.7          -74.0
  150_330_330_180_270_210_210        27985.5          689.7          383.7          -72.7
     120_270_330_90_90_210_60        23210.2          238.2          383.8          -63.3
     150_180_330_0_90_210_210         2045.0          159.6          383.8          -66.9
   90_120_330_240_120_180_240        33490.4         1180.3          383.8          -83.2
     120_120_330_0_150_180_30         3643.2          107.8          383.8          -82.0
    90_120_330_90_120_180_180        16072.4          247.1          383.8          -76.8
  150_330_330_180_120_210_210         7168.8          727.1          383.9          -81.2
   90_180_330_180_150_150_180         1910.6          127.6          383.9          -89.1
  120_330_330_180_150_210_210         5752.4          500.9          383.9          -68.7
   120_270_330_180_150_120_30         3187.9          223.9          383.9          -88.8
      90_120_330_0_120_180_60         3166.6          203.1          383.9          -67.8
  150_330_330_180_150_120_150         5373.8          588.5          383.9          -84.9
    150_330_330_0_120_180_210         5819.8          679.5          384.1          -70.9
  120_180_330_180_150_150_180         1987.2          325.1          384.1          -96.8
    120_150_330_90_90_210_210        23215.4          236.3          384.1          -68.9
  150_330_330_180_150_120_210         5428.3          585.6          384.1          -89.9
      90_120_330_0_270_270_60        23171.4          229.2          384.2          -86.1
  120_120_330_180_150_150_240         5858.3          118.7          384.3         -102.9
   150_150_330_180_150_180_30         2179.5          109.5          384.3          -76.8
   120_120_330_180_150_180_60         4821.9          111.5          384.3          -78.7
  120_330_330_240_120_180_210        11413.3          498.9          384.3          -71.9
  150_330_240_150_120_180_270       146569.9          456.1          384.4          -47.6
     90_120_330_0_150_180_240        30878.9         1118.1          384.4          -76.9
   120_180_240_150_120_180_30         5686.1          409.3          384.4          -58.5
  120_150_330_180_120_180_210         4979.8          258.9          384.5          -76.1
        150_150_0_60_0_180_90        57081.6         1653.2          384.5          -64.8
     90_0_330_180_120_180_150        49982.3          256.4          384.5          -63.2
  120_120_330_180_150_150_210         4891.6          124.9          384.5         -100.4
   150_180_330_180_150_120_30         2678.5          126.7          384.5          -82.0
   120_120_330_180_150_150_60         4833.8          115.8          384.5          -91.7
     150_0_330_180_150_180_90         3639.0          205.7          384.6          -82.3
    120_120_330_0_120_180_120         5668.3          143.5          384.6          -72.1
      120_120_330_0_120_180_0         5640.5          143.8          384.7          -74.5
   120_330_330_180_150_210_60         5908.6          445.2          384.8          -75.0
    120_0_300_150_120_180_150       175304.3          252.2          384.8          -84.9
   120_180_300_150_150_180_30         2138.2          392.0          384.8          -70.2
    90_120_330_180_90_210_180         3717.6          219.4          384.8          -77.4
  150_330_240_150_150_180_210       142959.0          336.4          384.9          -55.4
  150_330_330_150_120_180_210       143097.2          700.6          384.9          -61.2
     120_120_330_0_180_210_60         4807.2           83.7          384.9          -85.5
   90_120_330_240_150_150_180         1692.8          165.1          384.9          -95.7
    90_240_300_150_120_180_90         8427.4          420.2          385.0          -66.0
   150_150_270_240_120_180_90        11795.6          436.9          385.0          -48.7
   150_330_270_210_300_180_90        11350.0          482.5          385.0          -60.9
   150_150_330_180_120_180_90         4150.7          162.7          385.0          -71.8
  150_330_300_150_120_180_210       145705.5          506.4          385.1          -69.1
     90_90_270_210_300_210_60        20017.8          282.1          385.1          -70.0
   120_270_330_240_120_180_30         4250.0          297.0          385.1          -73.1
   120_180_300_150_150_120_30         2609.5          374.4          385.2          -88.2
    180_120_330_180_90_210_60         3462.2          103.6          385.2          -71.2
      60_0_300_150_120_180_90       173633.5          267.0          385.2          -72.2
      90_120_330_90_90_210_90        14815.3          151.7          385.2          -78.0
  150_180_330_180_150_150_150         2191.3          144.6          385.2          -76.0
    90_180_330_180_150_180_30         1895.7          128.5          385.2          -72.7
     120_180_330_0_150_120_30         1509.0          310.4          385.2          -94.4
   150_330_330_180_90_150_150         5246.8          592.4          385.2          -65.2
  120_270_300_150_120_180_210        29819.2          407.2          385.3          -66.6
  120_180_330_180_150_210_210         2145.8          383.3          385.3          -86.0
   90_180_330_180_120_180_180         3905.6          203.2          385.3          -75.0
  180_120_330_180_150_180_330         2071.9           97.7          385.5          -78.3
  120_180_330_180_120_180_180         3982.2          400.7          385.5          -82.7
  120_330_330_180_120_180_150         7603.7          492.0          385.5          -69.2
      90_120_330_0_270_240_90        23021.3          158.7          385.6          -84.4
    120_120_330_90_120_180_30        18543.2          188.7          385.6          -82.6
    90_120_330_90_150_150_180        14008.3          175.0          385.6          -91.4
    150_330_330_180_90_210_90         6111.9          608.8          385.6          -67.4
  150_180_330_180_150_180_150         2178.6          139.4          385.6          -64.1
  180_120_330_180_150_180_180         2859.3          128.5          385.6          -76.9
    90_120_330_180_120_180_60         4354.9          225.0          385.6          -77.5
    120_120_330_90_90_210_240        17323.5          140.8          385.6          -77.6
     120_180_330_0_120_120_30         3068.3          337.1          385.7          -73.8
      90_0_330_180_120_180_30        49639.8          279.4          385.8          -64.6
    120_270_330_90_120_180_30        24227.1          334.6          385.9          -68.0
    120_0_330_180_150_180_120         5609.2          218.6          385.9          -71.4
    150_180_330_0_150_180_210         1478.7          157.7          386.0          -74.0
     120_120_330_0_120_210_60         6035.9          161.5          386.0          -83.6
   90_120_330_180_150_180_330         2317.1          141.9          386.0          -87.3
   120_330_330_240_90_210_210         9978.5          458.1          386.0          -66.2
    120_330_330_90_90_210_210        18056.5          497.5          386.1          -62.7
     180_120_330_0_120_180_90         2856.1          142.4          386.1          -65.3
    120_120_180_90_180_210_60         9398.2          197.3          386.1          -89.1
    120_270_330_90_90_210_210        23050.6          296.5          386.1          -60.0
  120_330_240_150_120_180_210       144690.6          238.2          386.1          -45.4
   90_330_330_180_150_180_180         6387.3          676.5          386.2          -62.9
     150_330_0_240_90_210_210        14974.8          398.5          386.2          -47.4
    90_120_330_90_120_180_240        45779.0         1199.1          386.2          -77.5
   150_330_240_150_120_180_30       144249.6          421.9          386.2          -53.6
      60_0_330_180_150_180_90         3940.9          232.7          386.2          -65.9
   150_150_330_180_90_210_210         3415.8          152.8          386.2          -71.6
     150_180_330_0_150_180_30         1254.4          150.5          386.3          -67.0
   150_330_330_90_120_180_210        18815.5          707.6          386.3          -74.7
  120_120_330_180_120_180_120         6856.6          165.4          386.3          -81.8
      90_120_330_0_120_270_60         3103.4          159.4          386.4          -77.2
   150_150_330_120_90_210_210        25858.5          212.8          386.4          -68.6
    120_120_330_180_120_180_0         6828.8          165.7          386.4          -84.2
  120_180_330_180_150_150_150         2009.2          319.6          386.4          -93.5
      90_0_330_180_150_150_90        47619.7          205.0          386.4          -81.2
     90_120_330_90_180_210_60        15208.0          162.4          386.4          -94.7
    90_120_330_240_150_210_60         2030.5          162.5          386.4          -86.8
   150_210_330_180_150_180_90         2285.6          117.7          386.5          -68.9
    120_90_270_210_300_210_60        19575.2          321.7          386.5          -72.0
     90_120_330_90_60_150_180        15564.6          176.7          386.5          -83.6
     90_120_330_90_270_210_60        59451.0          178.9          386.5          -77.6
     120_180_330_0_270_120_30       107399.6          404.5          386.5          -85.0
   120_180_330_240_150_180_30         1678.7          474.1          386.6          -73.6
   120_210_330_180_150_180_30         2418.1          141.9          386.6          -69.6
    120_0_300_150_120_180_120       175306.5          255.5          386.6          -77.0
    120_120_330_0_180_210_210         4653.2          141.6          386.6          -85.9
   120_330_240_150_120_180_30       144884.9          253.4          386.7          -50.1
  150_330_330_180_120_180_240        36674.2         1645.5          386.7          -72.1
  150_330_180_240_180_210_210        39057.9          510.6          386.7          -66.8
    150_330_330_180_150_180_0         4950.9          616.3          386.7          -72.4
   150_330_240_150_120_270_90       143718.6          347.8          386.8          -52.6
  120_180_330_180_150_180_150         1996.4          314.3          386.8          -81.6
   120_150_330_180_150_120_30         3249.1          167.2          386.8          -92.3
    120_330_330_240_90_210_60        10134.6          402.3          386.8          -72.5
      90_180_330_0_120_180_30         2959.4          191.6          386.9          -68.9
   90_180_300_150_120_180_180         4555.8          199.5          386.9          -69.5
   120_330_330_180_150_120_60         6031.1          420.1          386.9          -83.8
  120_120_330_240_150_180_330         4141.8           94.2          386.9          -84.9
     120_330_330_90_90_210_60        18212.6          441.7          386.9          -69.0
    90_330_330_180_150_180_90         6316.9          620.5          386.9          -62.5
  120_150_330_180_150_180_330         2780.5          164.7          387.0          -78.7
     90_120_330_0_150_150_180         1180.4          165.8          387.0          -88.5
      90_120_180_0_180_210_60         7917.2          285.0          387.0          -71.5
     120_0_300_150_150_180_30       172864.9          307.8          387.0          -77.6
    120_150_270_60_120_180_90        26229.1          605.7          387.0          -50.2
      90_120_330_0_120_180_30         3178.4          223.4          387.0          -79.8
  120_180_300_150_120_180_180         4632.4          397.0          387.1          -77.2
     90_120_330_90_150_210_60        14346.0          172.4          387.1          -82.5
     90_120_330_0_180_150_180         2293.8          138.8          387.1          -80.1
     90_120_330_180_90_210_90         3514.2          155.1          387.1          -83.0
  150_330_330_150_150_180_210       141100.2          632.4          387.1          -64.4
  120_330_330_180_150_150_180         5609.2          456.3          387.1          -79.3
      150_150_0_60_150_180_90         8916.0          410.2          387.2          -54.6
    150_180_330_0_120_180_150         3242.3          202.5          387.2          -60.3
       90_0_330_180_90_210_60        49013.4          157.2          387.3          -58.4
     120_0_300_150_150_120_30       173336.2          290.2          387.3          -95.6
  150_330_270_210_300_150_150        12266.1          412.8          387.3          -57.1
   120_150_330_180_90_210_210         3996.8          225.4          387.3          -69.7
    150_330_330_90_150_180_90        16498.4          612.3          387.4          -73.3
    120_90_330_180_150_180_30         5770.1          227.9          387.5          -68.8
   120_150_330_120_90_210_210        26439.5          285.4          387.5          -66.7
   120_120_330_180_270_210_60        28041.0          146.1          387.5          -84.8
   120_120_330_90_150_180_330        16457.3          104.1          387.5          -80.6
   120_120_330_180_90_210_240         6022.3          144.1          387.6          -82.6
   150_330_330_180_30_150_150       611718.6          607.8          387.6          -76.3
     90_120_180_90_180_210_90         6701.7          251.9          387.6          -95.0
    120_120_330_90_90_210_330        17313.1          116.3          387.6          -74.1
  150_330_330_240_150_210_210         8644.5          664.2          387.6          -80.7
  150_330_240_150_150_180_150       142735.3          316.7          387.6          -51.7
   120_150_330_120_120_180_30        27906.8          321.9          387.6          -72.2
   120_150_330_240_150_180_30         2323.1          182.2          387.6          -80.0
    120_0_330_180_150_180_210         5820.7          246.7          387.6          -73.2
    150_330_0_240_150_180_150         6145.0          338.9          387.6          -48.3
   120_120_330_180_120_210_60         7224.2          183.4          387.6          -93.3
  150_330_330_180_150_210_150         4979.8          628.1          387.7          -71.6
  150_330_300_150_120_180_150       145478.2          486.9          387.7          -66.1
   90_120_330_180_150_150_240         3359.4          162.7          387.7          -98.4
    120_120_330_0_120_210_210         5881.9          219.4          387.7          -84.0
  120_120_330_180_150_120_240         5456.3          109.1          387.7         -105.0
